title,description,due_date
T1 - School number,[School number](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-14
T2 - Hill jumping,[Hill jumping](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-14
T3 - Consumption,[Consumption](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-21
T4 - Palindrome,[Palindrome](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-21
T5 - Names,[Names](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-28
T6 - Sauna Heater,[Sauna Heater](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-01-28
T7 - Washing machine,[Washing machine](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-04
T8 - Television,[Television](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-04
T9 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-11
T10 - Student,[Student](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-22
T11 - CD,[CD](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-25
T12 - Ralley car,[Ralley car](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-02-25
T13 - Elevator,[Elevator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-03
T14 - Amplifier,[Amplifier](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-03
T15 - Employee,[Employee](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-10
T16 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-10
T17 - Radio,[Radio](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-10
T18 - Student Goods,[Student Goods](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-10
T19 - Collection,[Collection](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-14
T20 - Mammal,[Mammal](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-14
T21 - NewCD,[NewCD](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2024-03-17
