content,description,order,priority,project_id,labels,due_date,section_id,parent_id,child_tasks
T1 - School number,[School number](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),1,2,Inbox,Olio-ohjelmointi,2024-01-14,Jamk,,
T2 - Hill jumping,[Hill jumping](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),2,2,Inbox,Olio-ohjelmointi,2024-01-14,Jamk,,
T3 - Consumption,[Consumption](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),3,2,Inbox,Olio-ohjelmointi,2024-01-21,Jamk,,
T4 - Palindrome,[Palindrome](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),4,2,Inbox,Olio-ohjelmointi,2024-01-21,Jamk,,
T5 - Names,[Names](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),5,2,Inbox,Olio-ohjelmointi,2024-01-28,Jamk,,
T6 - Sauna Heater,[Sauna Heater](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),6,2,Inbox,Olio-ohjelmointi,2024-01-28,Jamk,,
T7 - Washing machine,[Washing machine](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),7,2,Inbox,Olio-ohjelmointi,2024-02-04,Jamk,,
T8 - Television,[Television](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),8,2,Inbox,Olio-ohjelmointi,2024-02-04,Jamk,,
T9 - Vehicle,[Vehicle](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),9,2,Inbox,Olio-ohjelmointi,2024-02-11,Jamk,,
T10 - Student,[Student](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),10,2,Inbox,Olio-ohjelmointi,2024-02-22,Jamk,,
T11 - CD,[CD](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),11,2,Inbox,Olio-ohjelmointi,2024-02-25,Jamk,,
T12 - Ralley car,[Ralley car](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),12,2,Inbox,Olio-ohjelmointi,2024-02-25,Jamk,,
T13 - Elevator,[Elevator](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),13,2,Inbox,Olio-ohjelmointi,2024-03-03,Jamk,,
T14 - Amplifier,[Amplifier](https://gitlab.labranet.jamk.fi/ttc8440/oo-programming/-/blob/main/tasks.md),14,2,Inbox,Olio-ohjelmointi,2024-03-03,Jamk,,
