content,description,order,priority,project_id,labels,due_date,section_id,parent_id,child_tasks
E01 - React Basics,[Exercise link to teacher's material ](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/01.-exercise01/),1,2,Inbox,Web programming,2024-01-14,Jamk,,
E02 - Todo,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/02.-exercise02/),2,2,Inbox,Web programming,2024-01-21,Jamk,,
E03 - Employees,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/03.-exercise03/),3,2,Inbox,Web programming,2024-01-28,Jamk,,
E04 - Movies,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/04.-exercise04/),4,2,Inbox,Web programming,2024-02-04,Jamk,,
E05 - Weather Forecast,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/05.-exercise05/),5,2,Inbox,Web programming,2024-02-11,Jamk,,
E06 - Maps,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/06.-exercise06/),6,2,Inbox,Web programming,2024-02-18,Jamk,,
E07 - Redux Shop,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/07.-exercise07/),7,2,Inbox,Web programming,2024-02-25,Jamk,,
E08 - React Router Tutorial,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/08.-exercise08/),8,2,Inbox,Web programming,2024-03-03,Jamk,,
E09 - Firebase Todo App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/09.-exercise09/),9,2,Inbox,Web programming,2024-03-10,Jamk,,
E10 - React 18 new features,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/10.-exercise10/),10,2,Inbox,Web programming,2024-03-17,Jamk,,
E11 - TypeScript App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/11.-exercise11/),11,2,Inbox,Web programming,2024-03-24,Jamk,,
E12 - Products Next App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/12.-exercise12/),12,2,Inbox,Web programming,2024-03-31,Jamk,,
E13 - Your Own Vite App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/13.-exercise13/),13,2,Inbox,Web programming,2024-03-31,Jamk,,
E14 - Jokes Remix App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/14.-exercise14/),14,2,Inbox,Web programming,2024-04-07,Jamk,,
E15 - Publish App,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/15.-exercise15/),15,2,Inbox,Web programming,2024-04-14,Jamk,,
E16 - Car consumption monitoring,[Exercise link to teacher's material](https://mapas.pages.labranet.jamk.fi/web-user-interface-programming/02.-Exercises/16.-exercise16/),16,2,Inbox,Web programming,2024-04-14,Jamk,,
